Car Name,Year,Fuel,Mileage,Transmission,Location,Price,Link
BMW G30 530i Luxury Line Sunroof White On Black NIK 2017,2017,BENSIN,20.000-25.000 KM,AUTOMATIC,"CINERE, DEPOK KOTA",Rp 545.000.000,https://www.olx.co.id/item/bmw-g30-530i-luxury-line-sunroof-white-on-black-nik-2017-iid-932146889
mercedes cla th 2014 km 20 rb,2014,BENSIN,20.000-25.000 KM,AUTOMATIC,"INDIHIANG, TASIKMALAYA KOTA",Rp 285.000.000,https://www.olx.co.id/item/mercedes-cla-th-2014-km-20-rb-iid-931904969
BMW E60 523i LCI,2008,BENSIN,80.000-85.000 KM,AUTOMATIC,"REGOL, BANDUNG KOTA",Rp 149.000.000,https://www.olx.co.id/item/bmw-e60-523i-lci-iid-930467135
[Mobil Baru] Promo Ramadhan Hyundai Santa FE,2025,HYBRID,0-5.000 KM,AUTOMATIC,"BEKASI SELATAN, BEKASI KOTA",Rp 808.500.000,https://www.olx.co.id/item/mobil-baru-promo-ramadhan-hyundai-santa-fe-iid-932357086
Toyota Camry 2008 Bensin,2008,BENSIN,195.000-200.000 KM,AUTOMATIC,"BOGOR BARAT - KOTA, BOGOR KOTA",Rp 130.000.000,https://www.olx.co.id/item/toyota-camry-2008-bensin-iid-932401199
Mobil bekas murah tayo,1994,BENSIN,>300.000 KM,MANUAL,"PANGALENGAN, BANDUNG KAB.",Rp 30.000.000,https://www.olx.co.id/item/mobil-bekas-murah-tayo-iid-932117200
Mercedes Benz C250 AMG 2016 Pemakaian 2017,2017,BENSIN,30.000-35.000 KM,AUTOMATIC,"BEKASI KOTA, JAWA BARAT",Rp 439.000.000,https://www.olx.co.id/item/mercedes-benz-c250-amg-2016-pemakaian-2017-iid-932401045
[ LOW KM ] Lexus RX 300 RX300 Luxury 4x2 AT Hitam Metalik 2020/2021,2020,BENSIN,30.000-35.000 KM,AUTOMATIC,"CINERE, DEPOK KOTA",Rp 845.000.000,https://www.olx.co.id/item/low-km-lexus-rx-300-rx300-luxury-4x2-at-hitam-metalik-20202021-iid-932400735
BMW X1 SDrive Dynamic Line 2018,2018,BENSIN,60.000-65.000 KM,AUTOMATIC,"CIKARANG SELATAN, BEKASI KAB.",Rp 400.000.000,https://www.olx.co.id/item/bmw-x1-sdrive-dynamic-line-2018-iid-932400707
[ LOW KM ] Toyota Innova Zenix Q HV 2.0 Modelista AT Putih 2023/2024,2023,HYBRID,20.000-25.000 KM,AUTOMATIC,"SAWANGAN, DEPOK KOTA",Rp 545.000.000,https://www.olx.co.id/item/low-km-toyota-innova-zenix-q-hv-20-modelista-at-putih-20232024-iid-932400473
Honda Accord 2010 2400 cc VTIL AT Hitam,2010,BENSIN,60.000-65.000 KM,AUTOMATIC,"CIDADAP, BANDUNG KOTA",Rp 137.500.000,https://www.olx.co.id/item/honda-accord-2010-2400-cc-vtil-at-hitam-iid-929998146
SALE! SERENA HWS 2.0 PANORAMIC TDP MINIM,2018,BENSIN,180.000-185.000 KM,AUTOMATIC,"SENEN, JAKARTA PUSAT",Rp 179.000.000,https://www.olx.co.id/item/sale-serena-hws-20-panoramic-tdp-minim-iid-932400403
VW Caravelle 2.5L TDI,2006,DIESEL,170.000-175.000 KM,AUTOMATIC,"RAWALUMBU, BEKASI KOTA",Rp 205.000.000,https://www.olx.co.id/item/vw-caravelle-25l-tdi-iid-932400388
Toyota Avanza e mt 2023 Bensin,2023,BENSIN,30000 KM,MANUAL,"ANTAPANI (CICADAS), BANDUNG KOTA",Rp 185.000.000,https://www.olx.co.id/item/toyota-avanza-e-mt-2023-bensin-iid-932400360
2023 Toyota Corrolla Altis 1.8 Hybrid AT,2023,HYBRID,35.000-40.000 KM,AUTOMATIC,"BOGOR TIMUR - KOTA, BOGOR KOTA",Rp 415.000.000,https://www.olx.co.id/item/2023-toyota-corrolla-altis-18-hybrid-at-iid-932400346
[LOW KM] Toyota Innova Zenix Q Hybrid 2.0 Modelista AT Putih 2023/2024,2023,HYBRID,20.000-25.000 KM,AUTOMATIC,"BEKASI BARAT, BEKASI KOTA",Rp 545.000.000,https://www.olx.co.id/item/low-km-toyota-innova-zenix-q-hybrid-20-modelista-at-putih-20232024-iid-932400339
Mercedes benz C300 W204 2012 White putih mercy C300 2013 c300 2011 V6,2012,BENSIN,100.000-105.000 KM,AUTOMATIC,"ANTAPANI (CICADAS), BANDUNG KOTA",Rp 260.000.000,https://www.olx.co.id/item/mercedes-benz-c300-w204-2012-white-putih-mercy-c300-2013-c300-2011-v6-iid-932400307
